装备阶级,强化等级,强化成功率,调节成功率,消耗金币,调节金币数,消耗材料,调节材料数,失败降级,调节失败惩罚,,
1,1,100 ,100,25,25,2,2,                             无,,,0
1,2,100 ,100,20,20,4,4,                             无,,,0
1,3,100 ,100,30,30,4,4,                             无,,,0
1,4,90 ,100,40,40,8,8,4,,,0
1,5,80 ,100,50,50,10,10,5,,,0
1,6,70 ,100,60,60,12,12,6,,,0
1,7,60 ,100,70,70,15,15,7,,,0
1,8,50 ,100,80,80,16,16,7,,,1
1,9,40 ,100,90,90,18,18,9,,,1
1,10,10 ,100,100,100,20,20,9,,,1
2,1,100 ,100,220,220,32,32,                             无,,,0
2,2,100 ,100,240,240,34,34,                             无,,,0
2,3,100 ,100,260,260,36,36,                             无,,,0
2,4,90 ,100,280,280,38,38,4,,,0
2,5,80 ,100,300,300,40,40,5,,,0
2,6,70 ,100,100,100,42,42,6,,,0
2,7,60 ,100,340,340,44,44,7,,,0
2,8,50 ,100,360,360,46,46,7,,,1
2,9,40 ,100,380,380,48,48,8,,,1
2,10,10 ,100,400,400,50,50,9,,,1
3,1,100 ,100,630,630,62,62,                             无,,,0
3,2,100 ,100,660,660,64,64,                             无,,,0
3,3,100 ,100,690,690,66,66,                             无,,,0
3,4,90 ,100,720,720,68,68,4,,,0
3,5,80 ,100,750,750,70,70,5,,,
3,6,70 ,100,780,780,72,72,6,,,0
3,7,60 ,105,810,810,74,74,7,,,0
3,8,50 ,100,840,840,76,76,7,,,1
3,9,40 ,100,870,870,78,78,8,,,1
